City,Users,New.Users,Sessions,Bounce.Rate,Pages...Session,Avg..Session.Duration,Goal.Conversion.Rate,Goal.Completions,Goal.Value,Date
Norfolk,2,0,4,75.00%,1.25,0:00:01,0.00%,0,$0.00 ,20180930
Seattle,2,0,3,33.33%,2.33,0:02:50,0.00%,0,$0.00 ,20180930
Fearrington,2,1,2,50.00%,2.5,0:02:35,0.00%,0,$0.00 ,20180930
(not set),1,0,1,0.00%,2,0:25:08,0.00%,0,$0.00 ,20180930
Washington,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Clayton,1,0,4,75.00%,1.25,0:00:10,0.00%,0,$0.00 ,20180930
Destin,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Tallahassee,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Kennesaw,1,0,3,0.00%,2,0:00:06,0.00%,0,$0.00 ,20180930
Chicago,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Hyattsville,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180930
Suitland-Silver Hill,1,1,2,50.00%,2.5,0:08:58,0.00%,0,$0.00 ,20180930
Black Mountain,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Burlington,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Cashiers,1,0,4,75.00%,1.5,0:00:10,0.00%,0,$0.00 ,20180930
Concord,1,0,2,0.00%,4,0:05:18,0.00%,0,$0.00 ,20180930
Cornelius,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Creedmoor,1,0,1,0.00%,2,0:00:11,0.00%,0,$0.00 ,20180930
Laurinburg,1,1,1,0.00%,2,0:03:55,0.00%,0,$0.00 ,20180930
Morrisville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Ocean Isle Beach,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Oxford,1,0,2,0.00%,2,0:00:06,0.00%,0,$0.00 ,20180930
Pittsboro,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Rocky Mount,1,1,2,50.00%,2.5,0:04:59,0.00%,0,$0.00 ,20180930
Roxboro,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Spring Hope,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Wake Forest,1,0,3,33.33%,2,0:01:11,0.00%,0,$0.00 ,20180930
Whiteville,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Whittier,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Williamston,1,0,1,0.00%,2,0:11:29,0.00%,0,$0.00 ,20180930
Wilmington,1,0,1,0.00%,2,0:00:07,0.00%,0,$0.00 ,20180930
Harrison,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Newburgh,1,0,2,50.00%,2.5,0:10:07,0.00%,0,$0.00 ,20180930
Sound Beach,1,1,1,0.00%,3,0:01:49,0.00%,0,$0.00 ,20180930
Cincinnati,1,0,1,0.00%,3,0:01:55,0.00%,0,$0.00 ,20180930
Philadelphia,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Andrews,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Blythewood,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Conway,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Mount Pleasant,1,1,1,0.00%,5,0:34:58,0.00%,0,$0.00 ,20180930
North Charleston,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Dallas,1,0,1,0.00%,2,0:07:00,0.00%,0,$0.00 ,20180930
Houston,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Plano,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Chester,1,1,1,0.00%,5,0:06:28,0.00%,0,$0.00 ,20180930
Virginia Beach,1,1,1,0.00%,2,0:14:21,0.00%,0,$0.00 ,20180930
Huntington,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Friendly,1,0,1,0.00%,2,0:00:22,0.00%,0,$0.00 ,20180930
North Druid Hills,1,0,1,0.00%,3,0:01:18,0.00%,0,$0.00 ,20180930
Panthersville,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Woodfin,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
,409,169,541,47.50%,2.24,0:03:46,0.00%,0,$0.00 ,20180930
Durham,157,59,212,50.94%,2.12,0:03:32,0.00%,0,$0.00 ,20181007
Charlotte,40,16,51,50.98%,2.08,0:03:25,0.00%,0,$0.00 ,20181007
Raleigh,18,8,30,56.67%,1.87,0:03:03,0.00%,0,$0.00 ,20181007
Franklin,15,4,20,35.00%,2.15,0:03:31,0.00%,0,$0.00 ,20181007
Atlanta,14,9,15,53.33%,2.8,0:07:20,0.00%,0,$0.00 ,20181007
Mebane,12,8,15,66.67%,1.53,0:01:47,0.00%,0,$0.00 ,20181007
Chapel Hill,6,4,9,55.56%,2.22,0:04:14,0.00%,0,$0.00 ,20181007
Norfolk,4,0,7,42.86%,3.71,0:06:20,0.00%,0,$0.00 ,20181007
Cary,3,1,3,66.67%,1.33,0:00:03,0.00%,0,$0.00 ,20181007
Wake Forest,3,1,4,50.00%,3.25,0:07:36,0.00%,0,$0.00 ,20181007
Virginia Beach,3,0,3,0.00%,8,0:06:10,0.00%,0,$0.00 ,20181007
Birmingham,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181007
Washington,2,1,2,50.00%,3.5,0:04:56,0.00%,0,$0.00 ,20181007
Chicago,2,0,3,33.33%,4,0:00:54,0.00%,0,$0.00 ,20181007
Creedmoor,2,0,6,0.00%,4.83,0:05:30,0.00%,0,$0.00 ,20181007
Garner,2,1,4,75.00%,1.25,0:03:37,0.00%,0,$0.00 ,20181007
Henderson,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181007
Hillsborough,2,1,3,33.33%,2.67,0:04:09,0.00%,0,$0.00 ,20181007
Knightdale,2,1,3,33.33%,3,0:03:44,0.00%,0,$0.00 ,20181007
Oxford,2,0,2,50.00%,1.5,0:00:04,0.00%,0,$0.00 ,20181007
Sylva,2,0,4,50.00%,3,0:08:35,0.00%,0,$0.00 ,20181007
Wilmington,2,1,3,33.33%,6,0:17:31,0.00%,0,$0.00 ,20181007
Myrtle Beach,2,1,3,66.67%,2,0:03:00,0.00%,0,$0.00 ,20181007
Dallas,2,1,2,0.00%,6,0:07:31,0.00%,0,$0.00 ,20181007
North Druid Hills,2,0,3,0.00%,12.67,0:20:09,0.00%,0,$0.00 ,20181007
Saint-Brieuc,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181007
Corona,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181007
Los Angeles,1,1,2,50.00%,3,0:14:36,0.00%,0,$0.00 ,20181007
San Francisco,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181007
Clayton,1,0,1,0.00%,3,0:13:07,0.00%,0,$0.00 ,20181007
Merritt Island,1,0,2,0.00%,2,0:00:32,0.00%,0,$0.00 ,20181007
Orlando,1,0,1,0.00%,13,0:08:58,0.00%,0,$0.00 ,20181007
Perry,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181007
Columbus,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181007
Duluth,1,1,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20181007
Marietta,1,0,2,0.00%,3,0:00:40,0.00%,0,$0.00 ,20181007
Riverdale,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181007
Smyrna,1,0,1,0.00%,7,0:02:49,0.00%,0,$0.00 ,20181007
Louisville,1,1,1,0.00%,2,0:00:24,0.00%,0,$0.00 ,20181007
Bowie,1,1,2,50.00%,2,0:03:26,0.00%,0,$0.00 ,20181007
Belhaven,1,1,1,0.00%,2,0:06:21,0.00%,0,$0.00 ,20181007
Carrboro,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181007
Cashiers,1,0,2,50.00%,1.5,0:11:12,0.00%,0,$0.00 ,20181007
Cullowhee,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181007
Eden,1,1,1,0.00%,4,0:12:52,0.00%,0,$0.00 ,20181007
Fayetteville,1,0,1,0.00%,6,0:35:24,0.00%,0,$0.00 ,20181007
Gatesville,1,0,1,0.00%,2,0:00:13,0.00%,0,$0.00 ,20181007
Greensboro,1,1,1,0.00%,4,0:00:15,0.00%,0,$0.00 ,20181007
Jacksonville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181007
Murphy,1,0,2,50.00%,1.5,0:00:18,0.00%,0,$0.00 ,20181007
Reidsville,1,1,2,0.00%,2,0:00:06,0.00%,0,$0.00 ,20181007
Roanoke Rapids,1,1,1,0.00%,2,0:00:16,0.00%,0,$0.00 ,20181007
Smithfield,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181007
Swannanoa,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181007
Wendell,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181007
Whiteville,1,0,1,0.00%,3,0:04:04,0.00%,0,$0.00 ,20181007
Williamston,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181007
East Orange,1,1,2,50.00%,4.5,0:05:44,0.00%,0,$0.00 ,20181007
Newark,1,1,1,0.00%,2,0:05:55,0.00%,0,$0.00 ,20181007
Newburgh,1,0,2,50.00%,1.5,0:00:05,0.00%,0,$0.00 ,20181007
Blue Bell,1,0,1,0.00%,2,0:00:06,0.00%,0,$0.00 ,20181007
Monessen,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181007
Philadelphia,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181007
Pittsburgh,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181007
Andrews,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181007
Blythewood,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181007
North Myrtle Beach,1,0,2,50.00%,4,0:03:39,0.00%,0,$0.00 ,20181007
Knoxville,1,1,2,0.00%,2.5,0:09:19,0.00%,0,$0.00 ,20181007
Annandale,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20181007
Blacksburg,1,1,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20181007
Charlottesville,1,0,1,0.00%,2,0:00:27,0.00%,0,$0.00 ,20181007
Glen Allen,1,1,1,0.00%,10,0:10:12,0.00%,0,$0.00 ,20181007
Redmond,1,1,1,0.00%,7,0:09:19,0.00%,0,$0.00 ,20181007
Candler-McAfee,1,0,2,50.00%,2,0:01:17,0.00%,0,$0.00 ,20181007
Dock Junction,1,1,2,50.00%,10.5,0:04:53,0.00%,0,$0.00 ,20181007
Friendly,1,0,1,0.00%,2,0:00:11,0.00%,0,$0.00 ,20181007
Socastee,1,1,1,0.00%,2,0:09:07,0.00%,0,$0.00 ,20181007
Saint Charles,1,1,1,0.00%,2,0:00:14,0.00%,0,$0.00 ,20181007
,356,145,478,48.74%,2.41,0:03:51,0.00%,0,$0.00 ,20181007
Durham,197,84,253,49.41%,2.25,0:03:26,0.00%,0,$0.00 ,20181014
Charlotte,41,19,54,59.26%,2,0:03:03,0.00%,0,$0.00 ,20181014
Raleigh,27,13,42,54.76%,1.95,0:04:31,0.00%,0,$0.00 ,20181014
Franklin,15,7,18,55.56%,1.72,0:03:14,0.00%,0,$0.00 ,20181014
Atlanta,12,8,15,26.67%,2.47,0:03:44,0.00%,0,$0.00 ,20181014
Cary,11,6,15,40.00%,3.53,0:05:02,0.00%,0,$0.00 ,20181014
Chapel Hill,11,2,14,35.71%,1.79,0:04:10,0.00%,0,$0.00 ,20181014
Creedmoor,7,1,9,33.33%,2.11,0:04:30,0.00%,0,$0.00 ,20181014
Birmingham,5,1,7,57.14%,2,0:01:27,0.00%,0,$0.00 ,20181014
Washington,5,2,7,42.86%,1.71,0:04:58,0.00%,0,$0.00 ,20181014
Wake Forest,5,1,8,50.00%,2,0:03:40,0.00%,0,$0.00 ,20181014
Winston-Salem,5,2,5,40.00%,2,0:05:45,0.00%,0,$0.00 ,20181014
Mebane,4,0,4,25.00%,2,0:00:09,0.00%,0,$0.00 ,20181014
Chicago,3,2,3,66.67%,1.33,0:00:05,0.00%,0,$0.00 ,20181014
Greensboro,3,2,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
High Point,3,0,3,33.33%,1.67,0:00:02,0.00%,0,$0.00 ,20181014
New York,3,1,3,33.33%,2,0:01:02,0.00%,0,$0.00 ,20181014
Columbia,3,3,6,16.67%,2.67,0:06:34,0.00%,0,$0.00 ,20181014
Marietta,2,0,3,0.00%,3.33,0:05:55,0.00%,0,$0.00 ,20181014
Clayton,2,1,3,66.67%,1.33,0:00:02,0.00%,0,$0.00 ,20181014
Fayetteville,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Greenville,2,0,2,50.00%,5,0:01:50,0.00%,0,$0.00 ,20181014
Knightdale,2,0,2,0.00%,2.5,0:10:32,0.00%,0,$0.00 ,20181014
Oxford,2,0,2,0.00%,2.5,0:25:59,0.00%,0,$0.00 ,20181014
Pittsboro,2,2,3,66.67%,1.67,0:00:21,0.00%,0,$0.00 ,20181014
Sylva,2,0,3,33.33%,2.67,0:03:48,0.00%,0,$0.00 ,20181014
Cincinnati,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Myrtle Beach,2,1,2,50.00%,2,0:00:23,0.00%,0,$0.00 ,20181014
Ashburn,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Blacksburg,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Norfolk,2,0,2,0.00%,2,0:00:05,0.00%,0,$0.00 ,20181014
North Druid Hills,2,1,2,0.00%,2,0:00:05,0.00%,0,$0.00 ,20181014
(not set),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Jasper,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Surprise,1,0,2,50.00%,1.5,0:00:08,0.00%,0,$0.00 ,20181014
Corona,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Middletown,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Clayton,1,0,1,0.00%,10,0:20:14,0.00%,0,$0.00 ,20181014
Miami,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Perry,1,0,1,0.00%,2,0:24:00,0.00%,0,$0.00 ,20181014
Tampa,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Columbus,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Newnan,1,0,1,0.00%,6,0:04:35,0.00%,0,$0.00 ,20181014
Richmond Hill,1,1,1,0.00%,2,0:00:05,0.00%,0,$0.00 ,20181014
Kenner,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 ,20181014
Detroit,1,1,1,0.00%,2,0:00:27,0.00%,0,$0.00 ,20181014
Cape Girardeau,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Garner,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Hillsborough,1,0,1,0.00%,2,0:00:15,0.00%,0,$0.00 ,20181014
Jacksonville,1,0,1,0.00%,3,0:02:46,0.00%,0,$0.00 ,20181014
Lexington,1,1,1,0.00%,4,0:26:09,0.00%,0,$0.00 ,20181014
Morrisville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Reidsville,1,1,2,50.00%,2,0:14:57,0.00%,0,$0.00 ,20181014
Roxboro,1,0,1,0.00%,3,0:18:59,0.00%,0,$0.00 ,20181014
Swannanoa,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Wendell,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Williamston,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Wilmington,1,0,1,0.00%,2,0:00:05,0.00%,0,$0.00 ,20181014
Newburgh,1,0,1,0.00%,2,0:00:46,0.00%,0,$0.00 ,20181014
Youngstown,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Allentown,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Philadelphia,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Pittsburgh,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Andrews,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Blythewood,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Florence,1,1,1,0.00%,2,0:00:37,0.00%,0,$0.00 ,20181014
Greer,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Bristol,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Memphis,1,1,1,0.00%,2,0:01:09,0.00%,0,$0.00 ,20181014
Nashville,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Charlottesville,1,1,1,0.00%,4,0:20:14,0.00%,0,$0.00 ,20181014
Lorton,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Virginia Beach,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Oak Harbor,1,0,1,0.00%,2,0:02:10,0.00%,0,$0.00 ,20181014
Brookhaven,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Friendly,1,0,1,0.00%,2,0:00:09,0.00%,0,$0.00 ,20181014
Potomac Falls,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
Rochester Hills,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181014
,434,186,550,50.00%,2.13,0:03:29,0.00%,0,$0.00 ,20181014
Durham,186,74,264,52.65%,2.08,0:02:52,0.00%,0,$0.00 ,20181021
Raleigh,45,15,61,75.41%,2.25,0:01:47,0.00%,0,$0.00 ,20181021
Charlotte,34,16,49,42.86%,2.12,0:03:20,0.00%,0,$0.00 ,20181021
Franklin,24,13,35,51.43%,1.77,0:03:43,0.00%,0,$0.00 ,20181021
Atlanta,13,7,16,50.00%,1.56,0:03:52,0.00%,0,$0.00 ,20181021
Cary,6,3,10,40.00%,1.7,0:00:17,0.00%,0,$0.00 ,20181021
Chapel Hill,6,2,6,33.33%,2.17,0:00:51,0.00%,0,$0.00 ,20181021
Winston-Salem,6,1,6,83.33%,1.17,0:03:56,0.00%,0,$0.00 ,20181021
(not set),5,3,6,66.67%,1.5,0:03:54,0.00%,0,$0.00 ,20181021
Creedmoor,5,2,8,62.50%,2,0:00:24,0.00%,0,$0.00 ,20181021
Hillsborough,4,2,11,45.45%,2,0:03:26,0.00%,0,$0.00 ,20181021
Mebane,4,0,4,25.00%,2.25,0:01:05,0.00%,0,$0.00 ,20181021
Sylva,4,0,5,80.00%,2.4,0:04:45,0.00%,0,$0.00 ,20181021
Washington,3,2,4,50.00%,1.5,0:00:02,0.00%,0,$0.00 ,20181021
Carrboro,3,1,4,75.00%,1.5,0:00:12,0.00%,0,$0.00 ,20181021
Greensboro,3,2,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181021
Wake Forest,3,1,3,66.67%,2.33,0:01:20,0.00%,0,$0.00 ,20181021
Weaverville,3,0,6,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181021
Oranjestad,2,1,2,50.00%,3.5,0:07:24,0.00%,0,$0.00 ,20181021
Birmingham,2,1,3,33.33%,2.33,0:05:18,0.00%,0,$0.00 ,20181021
Winter Haven,2,1,2,50.00%,3,0:03:14,0.00%,0,$0.00 ,20181021
Fayetteville,2,1,4,0.00%,5.75,0:03:09,0.00%,0,$0.00 ,20181021
Greenville,2,2,2,0.00%,4,0:09:35,0.00%,0,$0.00 ,20181021
Knightdale,2,0,2,50.00%,1.5,0:00:07,0.00%,0,$0.00 ,20181021
New York,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181021
Bethel Park,2,2,3,33.33%,1.67,0:01:34,0.00%,0,$0.00 ,20181021
Philadelphia,2,0,3,66.67%,2.33,0:01:15,0.00%,0,$0.00 ,20181021
Columbia,2,1,4,0.00%,4.25,0:07:01,0.00%,0,$0.00 ,20181021
Norfolk,2,0,3,33.33%,2.33,0:10:24,0.00%,0,$0.00 ,20181021
Virginia Beach,2,2,2,50.00%,1.5,0:00:09,0.00%,0,$0.00 ,20181021
Rochester Hills,2,2,2,50.00%,3,0:02:01,0.00%,0,$0.00 ,20181021
Montego Bay,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 ,20181021
Corona,1,0,2,50.00%,1.5,0:00:19,0.00%,0,$0.00 ,20181021
Valley Center,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181021
Pinellas Park,1,1,2,50.00%,3.5,0:06:35,0.00%,0,$0.00 ,20181021
Tallahassee,1,0,1,0.00%,7,0:09:37,0.00%,0,$0.00 ,20181021
Columbus,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181021
Forsyth,1,1,1,0.00%,3,0:08:10,0.00%,0,$0.00 ,20181021
Kennesaw,1,0,1,0.00%,4,0:04:13,0.00%,0,$0.00 ,20181021
Savannah,1,0,1,0.00%,2,0:01:02,0.00%,0,$0.00 ,20181021
Chicago,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181021
New Orleans,1,0,1,0.00%,3,0:02:35,0.00%,0,$0.00 ,20181021
Elkridge,1,0,1,0.00%,7,0:31:54,0.00%,0,$0.00 ,20181021
Hyattsville,1,0,1,0.00%,4,0:00:58,0.00%,0,$0.00 ,20181021
St. Louis,1,1,1,0.00%,2,0:17:55,0.00%,0,$0.00 ,20181021
Apex,1,1,1,0.00%,2,0:00:25,0.00%,0,$0.00 ,20181021
Burlington,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181021
Clayton,1,0,1,0.00%,5,0:14:45,0.00%,0,$0.00 ,20181021
Fuquay Varina,1,1,1,0.00%,4,0:21:50,0.00%,0,$0.00 ,20181021
High Point,1,1,1,0.00%,3,0:00:51,0.00%,0,$0.00 ,20181021
Huntersville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181021
King,1,1,1,0.00%,2,0:00:06,0.00%,0,$0.00 ,20181021
New Bern,1,1,1,0.00%,9,0:17:19,0.00%,0,$0.00 ,20181021
Oxford,1,0,1,0.00%,5,0:54:48,0.00%,0,$0.00 ,20181021
Rocky Mount,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181021
Salisbury,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20181021
Waynesville,1,0,1,0.00%,2,0:12:21,0.00%,0,$0.00 ,20181021
Wendell,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181021
Williamston,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181021
Wilmington,1,1,1,0.00%,4,0:04:36,0.00%,0,$0.00 ,20181021
Newburgh,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181021
Blue Bell,1,0,1,0.00%,2,0:00:14,0.00%,0,$0.00 ,20181021
Harleysville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181021
Anderson,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181021
Blythewood,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181021
Clover,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181021
Myrtle Beach,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181021
Memphis,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181021
Dallas,1,0,2,50.00%,2,0:03:36,0.00%,0,$0.00 ,20181021
Charlottesville,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181021
Hampton,1,0,1,0.00%,7,0:20:12,0.00%,0,$0.00 ,20181021
Virgilina,1,1,5,80.00%,1.4,0:00:04,0.00%,0,$0.00 ,20181021
Tysons,1,0,1,0.00%,2,0:16:40,0.00%,0,$0.00 ,20181021
,425,171,587,53.83%,2.1,0:02:59,0.00%,0,$0.00 ,20181021
Durham,177,61,236,47.46%,2.35,0:04:09,0.00%,0,$0.00 ,20181028
Charlotte,42,13,61,45.90%,2.1,0:04:42,0.00%,0,$0.00 ,20181028
Raleigh,27,8,46,65.22%,1.48,0:01:13,0.00%,0,$0.00 ,20181028
Franklin,14,1,24,66.67%,1.75,0:03:47,0.00%,0,$0.00 ,20181028
Atlanta,12,8,14,64.29%,1.64,0:00:51,0.00%,0,$0.00 ,20181028
Chapel Hill,12,1,15,46.67%,3.87,0:11:18,0.00%,0,$0.00 ,20181028
Cary,9,5,10,80.00%,1.6,0:00:23,0.00%,0,$0.00 ,20181028
Mebane,4,0,5,20.00%,2.4,0:00:40,0.00%,0,$0.00 ,20181028
Philadelphia,4,2,4,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181028
(not set),3,2,4,50.00%,2,0:01:21,0.00%,0,$0.00 ,20181028
Washington,3,2,3,66.67%,1.33,0:00:32,0.00%,0,$0.00 ,20181028
Creedmoor,3,1,4,75.00%,1.25,0:00:06,0.00%,0,$0.00 ,20181028
Greensboro,3,0,4,75.00%,1.75,0:00:56,0.00%,0,$0.00 ,20181028
Wake Forest,3,1,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181028
Winston-Salem,3,0,3,33.33%,1.67,0:00:02,0.00%,0,$0.00 ,20181028
New York,3,2,3,66.67%,2.33,0:00:24,0.00%,0,$0.00 ,20181028
Norfolk,3,2,5,20.00%,4.2,0:01:50,0.00%,0,$0.00 ,20181028
Virginia Beach,3,1,5,20.00%,3.6,0:04:52,0.00%,0,$0.00 ,20181028
North Decatur,3,3,4,25.00%,2.5,0:01:02,0.00%,0,$0.00 ,20181028
Chicago,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181028
Elkridge,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181028
Boone,2,2,3,33.33%,1.67,0:05:34,0.00%,0,$0.00 ,20181028
Garner,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181028
Hillsborough,2,1,4,50.00%,2.75,0:00:21,0.00%,0,$0.00 ,20181028
Oxford,2,0,2,50.00%,1.5,0:00:03,0.00%,0,$0.00 ,20181028
Roanoke Rapids,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181028
Wilmington,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181028
Peekskill,2,2,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181028
Arlington,2,1,2,50.00%,3,0:01:34,0.00%,0,$0.00 ,20181028
Roanoke,2,2,2,50.00%,1.5,0:01:08,0.00%,0,$0.00 ,20181028
Irondale,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181028
Birmingham,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181028
Fairhope,1,1,1,0.00%,3,0:07:18,0.00%,0,$0.00 ,20181028
Corona,1,0,1,0.00%,2,0:28:15,0.00%,0,$0.00 ,20181028
Boulder,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181028
Jacksonville,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20181028
