City,Users,New.Users,Sessions,Bounce.Rate,Pages...Session,Avg..Session.Duration,Goal.Conversion.Rate,Goal.Completions,Goal.Value,Date
Missouri City,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Annandale,1,1,2,0.00%,8.5,0:06:27,0.00%,0,$0.00 ,20180819
Arlington,1,0,1,0.00%,5,0:04:56,0.00%,0,$0.00 ,20180819
Newport News,1,1,1,0.00%,10,0:06:47,0.00%,0,$0.00 ,20180819
Virginia Beach,1,0,1,0.00%,18,0:38:44,0.00%,0,$0.00 ,20180819
Seattle,1,1,1,0.00%,2,0:00:44,0.00%,0,$0.00 ,20180819
Myrtle Grove,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Panthersville,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180819
Spokane Valley,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Wheaton-Glenmont,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
,452,235,601,42.93%,2.82,0:05:23,0.00%,0,$0.00 ,20180819
Durham,191,88,252,43.25%,2.73,0:05:11,0.00%,0,$0.00 ,20180826
Charlotte,39,18,53,47.17%,2.75,0:04:56,0.00%,0,$0.00 ,20180826
Raleigh,32,14,41,34.15%,4.15,0:10:19,0.00%,0,$0.00 ,20180826
Atlanta,18,7,26,50.00%,2.23,0:02:13,0.00%,0,$0.00 ,20180826
Franklin,16,10,17,58.82%,1.65,0:05:15,0.00%,0,$0.00 ,20180826
New York,9,7,12,41.67%,2.42,0:03:31,0.00%,0,$0.00 ,20180826
Greensboro,8,7,13,76.92%,1.31,0:01:22,0.00%,0,$0.00 ,20180826
Norfolk,8,5,13,23.08%,3.15,0:06:18,0.00%,0,$0.00 ,20180826
Cary,6,3,8,50.00%,2.38,0:05:21,0.00%,0,$0.00 ,20180826
Wake Forest,6,5,8,62.50%,1.5,0:02:11,0.00%,0,$0.00 ,20180826
Hillsborough,5,4,8,25.00%,2,0:00:53,0.00%,0,$0.00 ,20180826
Mebane,5,3,8,37.50%,2.25,0:00:56,0.00%,0,$0.00 ,20180826
Virginia Beach,4,1,6,16.67%,2.83,0:03:38,0.00%,0,$0.00 ,20180826
Miami,3,2,4,25.00%,2.5,0:03:02,0.00%,0,$0.00 ,20180826
Chapel Hill,3,2,5,20.00%,3.6,0:05:44,0.00%,0,$0.00 ,20180826
Huntersville,3,3,3,33.33%,2,0:01:39,0.00%,0,$0.00 ,20180826
Winston-Salem,3,0,4,75.00%,1.25,0:00:01,0.00%,0,$0.00 ,20180826
Smyrna,2,2,2,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180826
Apex,2,2,4,50.00%,4,0:06:05,0.00%,0,$0.00 ,20180826
Cashiers,2,1,3,66.67%,1.33,0:00:05,0.00%,0,$0.00 ,20180826
Fayetteville,2,1,3,33.33%,3.67,0:11:55,0.00%,0,$0.00 ,20180826
Graham,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Kinston,2,0,3,33.33%,3.67,0:09:40,0.00%,0,$0.00 ,20180826
Roxboro,2,0,4,25.00%,6.5,0:22:19,0.00%,0,$0.00 ,20180826
Sylva,2,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Wilmington,2,1,3,33.33%,5.33,0:05:40,0.00%,0,$0.00 ,20180826
Blythewood,2,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Fort Worth,2,1,2,50.00%,2.5,0:12:44,0.00%,0,$0.00 ,20180826
Friendly,2,0,4,25.00%,3.25,0:07:40,0.00%,0,$0.00 ,20180826
Miramar,2,2,3,66.67%,1.33,0:01:24,0.00%,0,$0.00 ,20180826
(not set),1,0,1,0.00%,17,0:24:55,0.00%,0,$0.00 ,20180826
Corona,1,0,1,0.00%,6,0:06:43,0.00%,0,$0.00 ,20180826
Norwalk,1,0,2,50.00%,2.5,0:11:52,0.00%,0,$0.00 ,20180826
Tampa,1,1,1,0.00%,3,0:01:55,0.00%,0,$0.00 ,20180826
McDonough,1,0,2,50.00%,2.5,0:08:00,0.00%,0,$0.00 ,20180826
Indianapolis,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Kokomo,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Emporia,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Louisville,1,1,1,0.00%,6,0:16:14,0.00%,0,$0.00 ,20180826
Elkridge,1,1,1,0.00%,2,0:00:09,0.00%,0,$0.00 ,20180826
Salisbury,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Kansas City,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Angier,1,0,1,0.00%,4,0:01:27,0.00%,0,$0.00 ,20180826
Bailey,1,1,1,0.00%,9,0:10:54,0.00%,0,$0.00 ,20180826
Benson,1,1,2,50.00%,2,0:00:16,0.00%,0,$0.00 ,20180826
Boone,1,1,2,50.00%,2.5,0:01:38,0.00%,0,$0.00 ,20180826
Buies Creek,1,1,1,0.00%,3,0:17:37,0.00%,0,$0.00 ,20180826
Burnsville,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Carrboro,1,0,1,0.00%,3,0:04:17,0.00%,0,$0.00 ,20180826
Creedmoor,1,0,1,0.00%,4,0:05:35,0.00%,0,$0.00 ,20180826
Farmville,1,1,1,0.00%,3,0:00:35,0.00%,0,$0.00 ,20180826
