City,Source,Users,New.Users,Sessions,Bounce.Rate,Pages...Session,Avg..Session.Duration,Goal.Conversion.Rate,Goal.Completions,Goal.Value,Date
Greensboro,m.facebook.com,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Greensboro,yahoo,1,1,1,0.00%,6,0:03:21,0.00%,0,$0.00 ,20180812
Hayesville,google,1,1,2,50.00%,3,0:16:18,0.00%,0,$0.00 ,20180812
Henderson,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
High Point,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
High Point,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Hillsborough,(direct),1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Kernersville,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Knightdale,(direct),1,0,1,0.00%,4,0:00:31,0.00%,0,$0.00 ,20180812
Mebane,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Mebane,facebook.com,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Mebane,myubc.org,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180812
Murphy,myubc.org,1,0,1,0.00%,4,0:01:45,0.00%,0,$0.00 ,20180812
Nashville,google,1,0,1,0.00%,4,0:28:50,0.00%,0,$0.00 ,20180812
Oak Island,yahoo,1,1,1,0.00%,4,0:01:35,0.00%,0,$0.00 ,20180812
Ocean Isle Beach,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Oxford,com.google.android.googlequicksearchbox,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180812
Raleigh,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Raleigh,yahoo,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Roxboro,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Roxboro,myubc.org,1,0,2,50.00%,4,0:07:20,0.00%,0,$0.00 ,20180812
Shallotte,(direct),1,1,2,0.00%,2,0:05:53,0.00%,0,$0.00 ,20180812
Wake Forest,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Wake Forest,myubc.org,1,0,1,0.00%,2,0:00:13,0.00%,0,$0.00 ,20180812
Wendell,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Whiteville,google,1,0,1,0.00%,2,0:01:22,0.00%,0,$0.00 ,20180812
Williamston,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Wilson,myubc.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Winston-Salem,bing,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Montclair,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Newark,myubc.org,1,1,1,0.00%,4,0:02:33,0.00%,0,$0.00 ,20180812
Phillipsburg,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Marlboro,google,1,0,2,50.00%,5.5,0:04:18,0.00%,0,$0.00 ,20180812
Mount Vernon,myubc.org,1,1,1,0.00%,2,0:00:11,0.00%,0,$0.00 ,20180812
New York,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Oklahoma City,myubc.org,1,0,1,0.00%,2,0:00:18,0.00%,0,$0.00 ,20180812
Greensburg,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Philadelphia,(direct),1,0,1,0.00%,3,0:07:26,0.00%,0,$0.00 ,20180812
Philadelphia,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Pittsburgh,m.facebook.com,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Andrews,bing,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Columbia,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Columbia,myubc.org,1,1,1,0.00%,3,0:05:48,0.00%,0,$0.00 ,20180812
Myrtle Beach,(direct),1,1,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180812
Nashville,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Dallas,myubc.org,1,1,2,50.00%,6.5,0:23:30,0.00%,0,$0.00 ,20180812
Fort Worth,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Houston,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Mesquite,myubc.org,1,1,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180812
Newport News,bing,1,1,1,0.00%,5,0:07:09,0.00%,0,$0.00 ,20180812
Newport News,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Norfolk,myubc.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Richmond,myubc.org,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Stafford,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Stafford,google,1,0,1,0.00%,2,0:00:41,0.00%,0,$0.00 ,20180812
Virginia Beach,(direct),1,0,1,0.00%,3,0:00:44,0.00%,0,$0.00 ,20180812
Virginia Beach,myubc.org,1,1,1,0.00%,5,0:01:40,0.00%,0,$0.00 ,20180812
Seattle,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Churchville,l.facebook.com,1,1,1,0.00%,3,0:00:02,0.00%,0,$0.00 ,20180812
Flint Township,(direct),1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Friendly,(direct),1,0,1,0.00%,2,0:00:12,0.00%,0,$0.00 ,20180812
Marvin,google,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
