City,Device.Category,Users,New.Users,Sessions,Bounce.Rate,Pages...Session,Avg..Session.Duration,Goal.Conversion.Rate,Goal.Completions,Goal.Value,Date
Fuquay Varina,mobile,1,1,2,50.00%,2,0:00:15,0.00%,0,$0.00 ,20180819
Henderson,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
High Point,mobile,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180819
Hillsborough,tablet,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Jacksonville,mobile,1,0,1,0.00%,2,0:00:20,0.00%,0,$0.00 ,20180819
Jacksonville,tablet,1,0,2,50.00%,3.5,0:05:08,0.00%,0,$0.00 ,20180819
Kernersville,tablet,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Kittrell,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Knightdale,desktop,1,0,1,0.00%,2,0:00:15,0.00%,0,$0.00 ,20180819
Leland,mobile,1,1,1,0.00%,3,0:02:46,0.00%,0,$0.00 ,20180819
Oxford,desktop,1,1,1,0.00%,3,0:10:26,0.00%,0,$0.00 ,20180819
Oxford,mobile,1,0,1,0.00%,2,0:00:06,0.00%,0,$0.00 ,20180819
Roanoke Rapids,mobile,1,0,1,0.00%,8,0:29:43,0.00%,0,$0.00 ,20180819
Roanoke Rapids,tablet,1,0,2,50.00%,2.5,0:03:12,0.00%,0,$0.00 ,20180819
Roxboro,mobile,1,0,2,0.00%,4.5,0:06:31,0.00%,0,$0.00 ,20180819
Roxboro,tablet,1,1,1,0.00%,5,0:08:14,0.00%,0,$0.00 ,20180819
Siler City,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Sylva,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Sylva,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Sylva,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Wake Forest,tablet,1,1,4,0.00%,2,0:00:27,0.00%,0,$0.00 ,20180819
Wendell,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Whiteville,desktop,1,1,1,0.00%,2,0:00:07,0.00%,0,$0.00 ,20180819
Whiteville,tablet,1,0,3,0.00%,3,0:10:12,0.00%,0,$0.00 ,20180819
Williamston,desktop,1,0,1,0.00%,3,0:16:27,0.00%,0,$0.00 ,20180819
