# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20180819-20180819,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Source,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Dallas,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Kilgore,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Kilgore,myubc.org,1,1,1,0.00%,2,0:00:08,0.00%,0,$0.00 
Missouri City,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Annandale,(direct),1,1,1,0.00%,10,0:08:57,0.00%,0,$0.00 
Annandale,google,1,0,1,0.00%,7,0:03:57,0.00%,0,$0.00 
Arlington,myubc.org,1,0,1,0.00%,5,0:04:56,0.00%,0,$0.00 
Chantilly,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Charlottesville,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Newport News,myubc.org,1,1,1,0.00%,10,0:06:47,0.00%,0,$0.00 
Norfolk,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Norfolk,google,1,1,1,0.00%,4,0:03:46,0.00%,0,$0.00 
Virginia Beach,google,1,0,1,0.00%,18,0:38:44,0.00%,0,$0.00 
Seattle,(direct),1,1,1,0.00%,2,0:00:44,0.00%,0,$0.00 
Friendly,(direct),1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 
Friendly,google,1,0,1,0.00%,3,0:23:52,0.00%,0,$0.00 
Myrtle Grove,myubc.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Panthersville,myubc.org,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 
Spokane Valley,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Wheaton-Glenmont,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
,,487,235,601,42.93%,2.82,0:05:23,0.00%,0,$0.00 
