# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20180812-20180812,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Orlando,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Oviedo,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Tallahassee,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Atlanta,desktop,1,1,1,0.00%,3,0:04:49,0.00%,0,$0.00 
Atlanta,tablet,1,1,1,0.00%,10,0:47:41,0.00%,0,$0.00 
Macon,mobile,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Marietta,desktop,1,0,1,0.00%,4,0:25:04,0.00%,0,$0.00 
Riverdale,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Woodstock,desktop,1,1,1,0.00%,2,0:00:10,0.00%,0,$0.00 
Vandalia,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Overland Park,desktop,1,1,1,0.00%,2,0:00:07,0.00%,0,$0.00 
Slidell,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Billerica,desktop,1,1,3,33.33%,2.67,0:00:30,0.00%,0,$0.00 
Easton,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hyattsville,desktop,1,0,1,0.00%,2,0:00:07,0.00%,0,$0.00 
Andrews,desktop,1,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Black Mountain,desktop,1,1,1,0.00%,2,0:07:05,0.00%,0,$0.00 
Carrboro,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Cashiers,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Charlotte,desktop,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Marine Corps Air Station Cherry Point,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Concord,mobile,1,0,2,0.00%,2,0:00:06,0.00%,0,$0.00 
Creedmoor,desktop,1,0,2,0.00%,2,0:00:10,0.00%,0,$0.00 
Creedmoor,mobile,1,1,1,0.00%,4,0:21:54,0.00%,0,$0.00 
Cullowhee,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Efland,mobile,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Fayetteville,desktop,1,1,1,0.00%,2,0:00:08,0.00%,0,$0.00 
Franklinton,mobile,1,1,1,0.00%,2,0:00:19,0.00%,0,$0.00 
Graham,mobile,1,0,2,0.00%,2.5,0:01:15,0.00%,0,$0.00 
Hayesville,desktop,1,1,2,50.00%,3,0:16:18,0.00%,0,$0.00 
High Point,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
High Point,tablet,1,1,1,0.00%,2,0:00:03,0.00%,0,$0.00 
Hillsborough,tablet,1,1,2,50.00%,1.5,0:00:08,0.00%,0,$0.00 
Kernersville,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Knightdale,desktop,1,0,1,0.00%,3,0:12:21,0.00%,0,$0.00 
Mebane,mobile,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 
Murphy,mobile,1,0,1,0.00%,4,0:01:45,0.00%,0,$0.00 
Nashville,mobile,1,0,1,0.00%,4,0:28:50,0.00%,0,$0.00 
Oak Island,desktop,1,1,1,0.00%,4,0:01:35,0.00%,0,$0.00 
Ocean Isle Beach,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Oxford,mobile,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 
Roxboro,mobile,1,0,3,66.67%,3,0:04:53,0.00%,0,$0.00 
Shallotte,mobile,1,1,2,0.00%,2,0:05:53,0.00%,0,$0.00 
Sylva,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Sylva,mobile,1,0,1,0.00%,2,0:00:49,0.00%,0,$0.00 
Wake Forest,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Wake Forest,mobile,1,0,1,0.00%,2,0:00:13,0.00%,0,$0.00 
Wendell,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Whiteville,mobile,1,0,1,0.00%,2,0:01:22,0.00%,0,$0.00 
Williamston,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Wilson,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Montclair,tablet,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Newark,mobile,1,1,1,0.00%,4,0:02:33,0.00%,0,$0.00 
Phillipsburg,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Marlboro,tablet,1,0,2,50.00%,5.5,0:04:18,0.00%,0,$0.00 
Mount Vernon,tablet,1,1,1,0.00%,2,0:00:11,0.00%,0,$0.00 
New York,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Oklahoma City,mobile,1,0,1,0.00%,2,0:00:18,0.00%,0,$0.00 
Greensburg,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Philadelphia,desktop,1,0,1,0.00%,3,0:07:26,0.00%,0,$0.00 
Philadelphia,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Pittsburgh,mobile,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Andrews,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Columbia,desktop,1,1,1,0.00%,3,0:05:48,0.00%,0,$0.00 
Columbia,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
