# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181216-20181216,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Hour of Day,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Charlotte,2018121622,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Clayton,2018121608,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Clayton,2018121609,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Creedmoor,2018121607,1,0,1,0.00%,2,0:00:08,0.00%,0,$0.00 
Creedmoor,2018121611,1,1,2,0.00%,4,0:03:47,0.00%,0,$0.00 
Creedmoor,2018121614,1,1,1,0.00%,2,0:00:23,0.00%,0,$0.00 
Durham,2018121606,1,1,2,0.00%,2,0:08:17,0.00%,0,$0.00 
Durham,2018121619,1,1,2,50.00%,4,0:01:33,0.00%,0,$0.00 
Durham,2018121623,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Fayetteville,2018121611,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Franklin,2018121613,1,1,1,0.00%,2,0:00:31,0.00%,0,$0.00 
Franklin,2018121617,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Garner,2018121618,1,0,1,0.00%,2,0:00:14,0.00%,0,$0.00 
Graham,2018121607,1,0,1,0.00%,2,0:01:06,0.00%,0,$0.00 
Graham,2018121608,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Greensboro,2018121607,1,0,1,0.00%,3,0:05:26,0.00%,0,$0.00 
Greenville,2018121608,1,1,1,0.00%,7,0:10:16,0.00%,0,$0.00 
Greenville,2018121609,1,0,1,0.00%,3,0:32:42,0.00%,0,$0.00 
Greenville,2018121610,1,0,0,0.00%,0,0:00:00,0.00%,0,$0.00 
Greenville,2018121619,1,1,1,0.00%,4,0:19:45,0.00%,0,$0.00 
Hillsborough,2018121611,1,0,1,0.00%,7,0:06:17,0.00%,0,$0.00 
Hillsborough,2018121615,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
King,2018121608,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Knightdale,2018121613,1,0,1,0.00%,2,0:00:31,0.00%,0,$0.00 
Knightdale,2018121617,1,0,2,50.00%,4,0:00:49,0.00%,0,$0.00 
Mebane,2018121607,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Murphy,2018121611,1,0,1,0.00%,4,0:03:54,0.00%,0,$0.00 
Otto,2018121607,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Otto,2018121611,1,0,1,0.00%,5,0:02:01,0.00%,0,$0.00 
Otto,2018121612,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Oxford,2018121607,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Oxford,2018121615,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Raleigh,2018121614,1,0,1,0.00%,4,0:21:49,0.00%,0,$0.00 
Raleigh,2018121617,1,0,1,0.00%,2,0:18:21,0.00%,0,$0.00 
Raleigh,2018121618,1,0,0,0.00%,0,0:00:00,0.00%,0,$0.00 
Raleigh,2018121622,1,0,1,0.00%,2,0:00:13,0.00%,0,$0.00 
