# ----------------------------------------,,,,,,,,,
# All Web Site Data,,,,,,,,,
# Location,,,,,,,,,
# 20180812-20180812,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
City,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Overland Park,1,1,1,0.00%,2,0:00:07,0.00%,0,$0.00 
Slidell,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Billerica,1,1,3,33.33%,2.67,0:00:30,0.00%,0,$0.00 
Easton,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hyattsville,1,0,1,0.00%,2,0:00:07,0.00%,0,$0.00 
Andrews,1,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Black Mountain,1,1,1,0.00%,2,0:07:05,0.00%,0,$0.00 
Carrboro,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Cashiers,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Marine Corps Air Station Cherry Point,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Concord,1,0,2,0.00%,2,0:00:06,0.00%,0,$0.00 
Cullowhee,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Efland,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Franklinton,1,1,1,0.00%,2,0:00:19,0.00%,0,$0.00 
Graham,1,0,2,0.00%,2.5,0:01:15,0.00%,0,$0.00 
Hayesville,1,1,2,50.00%,3,0:16:18,0.00%,0,$0.00 
Kernersville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Murphy,1,0,1,0.00%,4,0:01:45,0.00%,0,$0.00 
Nashville,1,0,1,0.00%,4,0:28:50,0.00%,0,$0.00 
Oak Island,1,1,1,0.00%,4,0:01:35,0.00%,0,$0.00 
Ocean Isle Beach,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Oxford,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 
Roxboro,1,0,3,66.67%,3,0:04:53,0.00%,0,$0.00 
Shallotte,1,1,2,0.00%,2,0:05:53,0.00%,0,$0.00 
Wendell,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Whiteville,1,0,1,0.00%,2,0:01:22,0.00%,0,$0.00 
Williamston,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Wilson,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Montclair,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Newark,1,1,1,0.00%,4,0:02:33,0.00%,0,$0.00 
Phillipsburg,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Marlboro,1,0,2,50.00%,5.5,0:04:18,0.00%,0,$0.00 
Mount Vernon,1,1,1,0.00%,2,0:00:11,0.00%,0,$0.00 
Oklahoma City,1,0,1,0.00%,2,0:00:18,0.00%,0,$0.00 
Greensburg,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Pittsburgh,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Andrews,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Myrtle Beach,1,1,1,0.00%,2,0:00:04,0.00%,0,$0.00 
Nashville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Dallas,1,1,2,50.00%,6.5,0:23:30,0.00%,0,$0.00 
Fort Worth,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Houston,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Mesquite,1,1,1,0.00%,2,0:00:02,0.00%,0,$0.00 
Norfolk,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Richmond,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Seattle,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Churchville,1,1,1,0.00%,3,0:00:02,0.00%,0,$0.00 
Flint Township,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Friendly,1,0,1,0.00%,2,0:00:12,0.00%,0,$0.00 
Marvin,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
North Druid Hills,1,1,2,50.00%,2,0:00:32,0.00%,0,$0.00 
Spokane Valley,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
,497,313,643,49.77%,2.21,0:03:22,0.00%,0,$0.00 
